role,company,exp,salary,location,desc,req
Principal Data Scientist,Cornerstone India,7-12 Yrs,Not disclosed,Bengaluru,In this role you will Working very closely and collaboratively with team-members in the...,"deep learning
Data analysis
Prototype
data science
GCP
Machine learning
Transformers
test driven development"
Principal Data Scientist,Cornerstone Talent Solutions,7-13 Yrs,Not disclosed,Bengaluru,In this role you will... Working very closely and collaboratively with team-members in ...,"deep learning
Data analysis
Prototype
HCM
GCP
Machine learning
test driven development
Natural language processing"
Data Scientist,experionglobal,3-7 Yrs,Not disclosed,"Trivandrum, Kochi",Job Description Able to connect to new and relevant data and get to customer insights v...,"IT Skills
Java
Python
Cloud
AWS
Tableau
Power BI
Azure"
Data Scientist,Incedo Technology Solutions Ltd.,5-10 Yrs,Not disclosed,"Pune, Delhi NCR",Primary Skills Problem Solving: Strong problem-solving skills with ability to translate...,"Data Science
NLP
Logistic Regression
Data Analysis
SVM
Powerpoint
Machine Learning
Lucene"
Data Scientist,Black Knight India Solutions Private Limited,6-10 Yrs,Not disclosed,Hyderabad,"experience using various data including mortgage data, public record data, Multi-listin...","Financial Analysis
R
Finance
Data Analysis
Chartered Financial Analyst
Macroeconomics
SQL Scripting
Analytics"
Work and Settle as Data Analyst in Poland,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Denmark, Poland",Call Aakriti - 9971135795 Collecting and interpreting data Analysing results Reporting ...,"Data Manager
Data Scientist
Security Analyst
Database Security
Data Analysis
Data Engineer
Database Testing
SQL Database"
Work and Settle as Data Analyst in Poland,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Denmark, Poland",Call Aakriti - 9971135795 Collecting and interpreting data Analysing results Reporting ...,"Data Manager
Data Scientist
Security Analyst
Database Security
Data Analysis
Data Engineer
Database Testing
SQL Database"
Senior Data Scientist,Decision Point,3-5 Yrs,Not disclosed,Gurgaon,"Experience in various statistical and machine learning modeling techniques, data mining...","Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
Clinical Data Analyst,ApicalGo Consultancy,1-4 Yrs,Not disclosed,Bengaluru,EDUCATION : Masters degree in health-related field Performs internal data audits and ot...,"technical support
Medical Applications
Data Management
Data Analyst
Clinical Data Management
Medical Imaging"
Germany MNC Looking For Data Scientist,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Denmark, Germany",Call to Divya: 9870446618 As a Data scientist duties typically include creating various...,"IT Skills
Machine Learning
data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst"
Sr Analyst Data Science and Analytics,Analytics Vidhya Educon Pvt. Ltd,10-14 Yrs,Not disclosed,Hyderabad,Job Description and Responsibilities The Data Scientist in Procurement Analytics team w...,"Procurement
SAS
MS Access
MySQL
Healthcare
HTML
Business intelligence
MATLAB"
Immediate Opening For Data Analyst in Chennai,Inflexion Analytix Private Limited,0-2 Yrs,"3,25,000 - 4,50,000 PA.",Chennai,artificial intelligence data analytics data analysis algorithms statistics machine lear...,"advanced analytics
python
data analytics
data
software
information technology
Artificial Intelligence
testing"
Data Analyst,US Technology International Pvt Ltd,7-10 Yrs,Not disclosed,Bengaluru,Data Analytics Requirements: 7+ years of related experience with a bachelors degree or ...,"Big Data Analytics
Hadoop
Data Analysis
Data Analyst
kibana
Python
SQL"
Data Analyst,TouchNote,1-3 Yrs,Not disclosed,Hyderabad,"What you ll do: Reporting into the Data Lead, you will partner with teams on a day-to-d...","Analyst
Data analysis
query optimization
Banking
E-commerce
Data analytics
Data Analyst
Medical insurance"
Senior Data Analyst - CYMPL,Cympl,5-10 Yrs,Not disclosed,India,"Senior Data Analyst As a Data Scientist, you will be responsible for analyzing the larg...","Google Analytics
PDF
Senior management
E-commerce
data visualization
Business intelligence
Data mining
Digital marketing"
Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,8-13 Yrs,Not disclosed,Hyderabad,Job description: The Senior Data Scientist is primarily responsible for creating busine...,"Logistic regression
Data analysis
Data management
Analytical
Consulting
HTML
Data mining
Analytics"
Data Scientist Career Data Analytics Companies,ALLERIN TECHNOLOGIES Pvt Ltd.,10-15 Yrs,Not disclosed,Mumbai,Develop hypotheses and test carefully by experience; develop and improve predictive mod...,"Data analysis
Product engineering
Policies
Information security
Tools
Service
Data analytics
Oracle"
Data Scientist,Wcities Content Solutions Pvt. Ltd.,2-6 Yrs,Not disclosed,Mumbai,Wcities looking for Data Scientists for Mumbai location ( Malad ) with advanced degree ...,"Artificial Intelligence
data research
Data Mining
Data Analyst
Machine Learning
SQL
Data Science
R"
Data Scientist,EXL Services.com ( I ) Pvt. Ltd.,4-8 Yrs,Not disclosed,Noida,Location: Noida sector 144Shift: US timings 5:30pm -2:30amYou will be responsible for e...,"Power Bi
Data Scientist
Lead Data Analyst
Data Visualization
Tableau
Data Analytics"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,2-7 Yrs,Not disclosed,"Jamshedpur, Mumbai, Bengaluru",Key Responsibilities: Apply Data Mining Data Analysis methods using a variety of data t...,"Data analysis
Data management
HTML
HTTP
Information management
Data mining
Econometrics
Information technology"
Data Scientist,GD Research Center Pvt Ltd,2-4 Yrs,Not disclosed,Hyderabad,The candidate should be capable of understanding Online Pricing Intelligence solution a...,"Data analysis
Team management
Data management
Project management
Consulting
Data collection
Project planning
Data mining"
Data Scientist,MyITBridge,3-6 Yrs,"10,00,000 - 20,00,000 PA.","Trivandrum, Kochi","Product devpelopment exposure with credit risk modeling or financial data, Should be an...","Tensorflow
data
Artificial Intelligence
AI
Big Data
Machine Learning
Statistics
Data Science"
Analyst - Data Science,Nuware Systems Pvt Ltd,3-6 Yrs,Not disclosed,Bengaluru,"Responsibilities : Data Scientist with Machine Learning, Python & R Programming Experie...","Data analysis
RDBMS
Bfsi
Application programming
Machine learning
Investment banking
Data mining
Macros"
Data Analyst | Teksystems,Allegis Services India Pvt. Ltd.,4-7 Yrs,Not disclosed,Chennai,We are looking for Data Analysts for TEKsystems.Description: To perform as an Advanced ...,"Data Science
Business Intelligence
Design Development
SAS
Data Analysis
Big Data
Data Visualization
Process Design"
Data Analyst - SaaS (Work from Home),ONCEHUB TECHNOLOGIES PRIVATE LIMITED,5-10 Yrs,Not disclosed,"Pune, Dehradun, Delhi NCR, Bengaluru, Hyderabad, Gurgaon","This is a remote, work from home role which saves you commuting time and allows flexibi...","R
Data Quality
Excel
Linear Regression
Time Series Analysis
SAAS
Hypothesis Testing
Data Analysis"
"TTEC - Senior Analyst , Data Science",TTEC,1-3 Yrs,Not disclosed,Hyderabad,"Senior Analyst , Data ScienceWhen everything's connected , how we connect is everything...","Data analysis
Coding
Consulting
Business intelligence
Open source
Data mining
Information technology
Macros"
Data Analyst-Analytics,Linedata Technology Private Limited,3-8 Yrs,Not disclosed,Mumbai,The RoleWe are looking for an experienced Data Analyst to join a dynamic and fast-growi...,"Tableau
Python
Predictive Analytics
stastical modelling
Data Analyst
Text Mining
Machine Learning"
Data Analyst,Lymbyc,2-7 Yrs,Not disclosed,Bengaluru,Roles and Responsibilities: Analyse complex data sets and convert them into the informa...,"Analyst
Data validation
NoSQL
Machine learning
Schema
Business intelligence
Lotus
Analytics"
Data Analyst,Bloom Consulting Services,2-4 Yrs,Not disclosed,Bengaluru,"JD1349 - Data Analyst Requirement Key Skills : Advanced R , Matlab , Data Analyst , Sta...","Web analytics
Data modeling
Data Analyst
data visualization
Troubleshooting
Data mining
Digital marketing
MATLAB"
Principal RWE Scientific Data Analyst,Novartis Healthcare Pvt. Ltd.,8-10 Yrs,Not disclosed,"Hyderabad, AP","Bachelors degree plus 8+ years as programmer or data scientist in the pharma industry, ...","Data Science
Logistic Regression
Data Manipulation
Data Analysis
Data Mining
SQL Queries
Machine Learning
R Shiny"
Data Entry Analyst,Digi Verve Technologies Private Limited,0-2 Yrs,Not disclosed,Bengaluru,Job Description - Transform data into business value to provide qualified data-based in...,"Analyst
Data entry"
Data Analyst,Samagra Utilities,2-5 Yrs,Not disclosed,Pune,Data Analyst Samagra is looking for a passionate and dynamic Data Analyst who wants to ...,"Service delivery
Data analysis
Statistical modeling
Financial inclusion
Data collection
Data Analyst
Software solutions
Monitoring"
Data Analyst,Envision Webier Technologies India Pvt. Ltd,2-7 Yrs,Not disclosed,"Ghaziabad, Noida",#NAME?,"Data Analyst
Data entry"
Data Analyst(3 To 6yrs),Allegis Services India Pvt. Ltd.,3-6 Yrs,"14,00,000 - 22,50,000 PA.",Chennai,"Bachelors / Masters degree in Computer Science Engineering / Information Technology, or...","Business Intelligence
SAS SQL
Report Generation
Alteryx
Data Analysis
SQL Queries
Tableau
Dashboards"
Data Analyst - Tableau,Square Panda India LLP,3-5 Yrs,Not disclosed,Mumbai,"We're looking for a highly strategic, very detail-oriented data analyst/scientist to wo...","Pivot Table
Tableau Developer
data mining
google analytics
Data Visualization
Tableau
SQL"
Data Analyst,edata4you,2-5 Yrs,Not disclosed,Delhi,Qualification: Graduate or equivalent Skills: Ms- Office and MIS reports Responsibiliti...,"MIS reporting
Training
Algorithms
Process improvement
Tools
Data Analyst
Management
MS Office"
Senior Analyst - Data Science,Smart Cube India Private Limited,2-7 Yrs,Not disclosed,India,Roles and responsibilities The Data Scientist is expected to have deep knowledge and sk...,"Computer science
Telecom
Operations research
Team management
data domain
Project management
Analytical
Machine learning"
Lead Business Analyst - Data Sciences,Careerera,4-7 Yrs,Not disclosed,Bengaluru,"About Job:Responsibilities- Work with sales, management and sales operations stakeholde...","Computer science
VMware
C++
SAS
Machine learning
Perl
Customer support
Monitoring"
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,3-8 Yrs,Not disclosed,Hyderabad,Experience : 0 years Requirements : Task Info : About the company: We are the informati...,"Computer science
Bfsi
Process improvement
Data collection
Data Analyst
HTML
Information management
Business solutions"
"Data Scientist - Tensor-flow, Keras",TalPro,3-8 Yrs,"25,00,000 - 40,00,000 PA.","Mumbai, Bengaluru, Gurgaon",Should be comfortable in going through open source code and reading research papers,"Tensorflow
data analysis
Data Structures
data mining
Machine Learning
Deep Learning
Fraud Analytics
data extraction"
Data Engineer / Data Analyst,Indium Software (India) Limited,3-8 Yrs,Not disclosed,Hyderabad,We are hiring !!!!!Data Engineer / Data Analyst role for Hyderabad locationExp: 3+ Year...,"data warehouse
python
data management
data analytics
big data developer
scala
data engineer
pyspark"
Data Engineer / Data Analyst,Indium Software (India) Limited,3-8 Yrs,Not disclosed,Hyderabad,Write complex SQL queries and should be much familiar with functions like (Window funct...,"advanced analytics
python
data analysis
data management
data analytics
big data developer
data engineer
pyspark"
Data Scientist,Seven Consultancy,3-6 Yrs,Not disclosed,"Navi Mumbai, Mumbai",JOB DETAILS 1. Develop forecasting and probability scoring models 2. Perform statistica...,"Data analysis
Artificial Intelligence
Machine learning
Management consulting
Pattern recognition
Data mining
Forecasting
SQL"
Data Scientist,Bprise,3-7 Yrs,Not disclosed,Mumbai,& The Data Scientist will have a deep understanding of statistical and predictive model...,"Data analysis
data science
Neural networks
Analytical
Machine learning
Data collection
Data mining
big data"
Data Scientist-Analytics & Insights,Hiring Joint,3-6 Yrs,Not disclosed,Noida,"Job Purpose : As a leader and innovator in the food services and food-tech space, Jubil...","Supply chain
Data analysis
Analytical
Machine learning
Data processing
Data structures
Data mining
Operations"
Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,2-7 Yrs,Not disclosed,"Navi Mumbai, Mumbai","Processing , cleansing , and verifying the integrity of data used for analysis Doing ad...","Computer science
Data analysis
Machine learning
Data collection
Predictive modeling
Data mining
big data
MATLAB"
Data Scientist,QubeRoot Analytics,3-8 Yrs,Not disclosed,Bengaluru,Data ScientistExperience: 3+ yearsOpen Positions: #02Qualification: M. Sc. (Maths/ Stat...,"Computer science
Business objects
Data analysis
Simulation
Bfsi
MySQL
Healthcare
Data mining"
Lead Data Scientist,QubeRoot Analytics,5-8 Yrs,Not disclosed,Bengaluru,Lead Data ScientistExperience Required: 5-8 yearsOpen Positions: #02Qualification: M. S...,"algorithms
Data analysis
Bfsi
testing
developing
Data mining
tools
SQL"
SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,5-9 Yrs,Not disclosed,Bengaluru,About the role: You will collect and analyse data to spot trends and help us face the c...,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
Data Scientist,Hyrefox,2-5 Yrs,Not disclosed,Jaipur,"Designing, implementation & maintenance of various data and machine learning-based comp...","Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
Data Scientist,Jubna,4-9 Yrs,Not disclosed,Noida,"As a Data Scientist, you will work to resolve ambiguity with data, play a crucial role ...","C++
Data analysis
data science
SAS
Project management
Agile
Perl
Business intelligence"
Senior Data Scientist,EPIFI TECHNOLOGIES PRIVATE LIMITED,5-8 Yrs,Not disclosed,Bengaluru,"You have a MS or PhD in Computer Science, Physics, Statistics, Applied Mathematics, or ...","Academics
Scalability
Data Scientist
regression
Data Structures
SCALA
Data Analysis
Data Mining"
Data Scientist,"Entytle, Iinc.",2-4 Yrs,Not disclosed,Pune,Position Description The position reports to the Head of Data Science. You will work wi...,"Product management
Computer science
Cloud computing
Data analysis
GIT
Analytical
Machine learning
Agile"
