role,company,exp,salary,location,desc,req
sr data analyst/data scientist,Brillius technologies,3-6 Yrs,Not disclosed,Noida,Sr Data Analyst / Data scientist (R-19-05-SrDA) Responsibilities: Write complex SQL que...,Sr Data Analyst/Data Scientist
analyst data scientist,CAMSDATA Technologies India Pvt Ltd,3-8 Yrs,Not disclosed,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",•Build an in-depth understanding of the problem domain and available data assets •Resea...,"Data analysis
software
Data mining
tools
Analytics
research
Data architecture
Computer science"
analyst data scientist,CAMSDATA Technologies India Pvt Ltd,3-8 Yrs,Not disclosed,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",Job Description: Build an in-depth understanding of the problem domain and available da...,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
lead data scientist,HERE Technologies,5-10 Yrs,Not disclosed,"Mumbai, Mumbai City","MS or PhD in a discipline such as Statistics, Applied Mathematics, Computer Science, Da...","Data Science
data analysis
Algorithm development
Statistical Modeling
Machine Learning
Modeling
Python"
hiring a part-time supporter for data analyst or data scientist,Platinus Technologies Private Limited,5-10 Yrs,"50,000 - 3,00,000 PA.","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",Good Knowledge of the Technologies and guiding them regarding the interview processGood...,"Data Scientist
Data Analyst"
data scientist/ analyst,Applied Data Finance,2-3 Yrs,Not disclosed,Chennai,Roles and Responsibilities: Use of cutting edge machine learning techniques for solving...,"g Python query language
MySQL Object Oriented program"
data scientist / analyst,Adoro,2-5 Yrs,Not disclosed,Mumbai,If you are someone who always argues that data tells you everything and can speak numbe...,"Computer science
Basic
Senior Analyst
Statistical software
MATLAB
Statistics
SQL
Python"
data scientist / business analyst,Analytics Vidhya Educon Pvt. Ltd,10-15 Yrs,Not disclosed,Mumbai,Job Description and Responsibilities: Help Leadership to use data to come up with intel...,"MS SQL
Excel
data science
Financial reporting
RDBMS
Database design
Analytical
HTML"
data scientist / analyst,Analytics Vidhya Educon Pvt. Ltd,5-10 Yrs,Not disclosed,Chennai,Job Description and Responsibilities: 2+ years of experience in analytics industry Abil...,"Analyst
SAS R
Author
HTML
Analytics
Android
Python"
business analyst - data scientist,Hyrefox,3-5 Yrs,Not disclosed,Gurgaon,• Experience in advanced analytics with exposure to Operational/ Web/ HR analytics • Go...,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
analyst - data scientist,Hyrefox,1-3 Yrs,Not disclosed,Gurgaon,• Experience in advanced analytics with exposure to Operational/ Web/ HR analytics • Go...,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
web analyst - data scientist,Analytics Vidhya Educon Pvt. Ltd,8-12 Yrs,Not disclosed,Bengaluru,Job description: Responsibilities Qualification and Skills Required •8-12 years of expe...,"data science
SAS
Web analytics
Analytical
Social media
HTML
Omniture
Analytics"
data scientist - credit risk analysis - fintech - iit/ iim/ bits/ nit,3D India Staffing Research Consulting Pvt Ltd,3-5 Yrs,Not disclosed,Gurgaon,Data Scientist - Credit Risk Analysis - FinTech - IIT / IIM/BITS / NIT (3-5 yrsQualific...,"Quantitative Analysis
Product Management
Lending
IIM
Statistical Analysis
Machine Learning
Credit Risk Analysis
Analytics"
data analyst /data engineer,Systech Solutions,0-2 Yrs,"3,25,000 - 4,25,000 PA.",Chennai,Dear Candidate Schedule a Telephonic Interview ( Please call for confirmation) : Mon- S...,"Artificial Intelligence
Machine Learning
Python
Business Intelligence
Power Bi
Data Management
Neural Networks
MCA"
job opportunity - data analyst - remote work culture,Demand Matrix,2-7 Yrs,Not disclosed,Pune,Must have Strong analytical and critical thinking to resolve business problems using da...,"cloud
python
Azure
technology domain
Data Analyst
aws
Elastic Search
sql"
master data analyst,Hitachi ABB Power Grids,2-5 Yrs,Not disclosed,Bengaluru,Mission Statement : This position will support operations by monitoring and analyzing m...,"ERP
SAP
SAS
Alteryx
Knime
EDI
Informatica
Tableau"
sr. data scientist,Orcapod Consulting Services Private Limited,6-9 Yrs,Not disclosed,Bengaluru,Relevant experience in data science should be 5+ and it is mandatory10 years of experie...,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
sr. data scientist,Orcapod Consulting Services Private Limited,6-10 Yrs,Not disclosed,Bengaluru,Relevant experience in data science should be 5+ and it is mandatory10 years of experie...,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
data scientist,Trangile Services Pvt. Ltd,4-9 Yrs,Not disclosed,"Hong Kong, Noida",Experience in,"IT Skills
Python
Testing
Machine Learning
Data scientist
R
Advanced Analytics
Data Analysis"
data scientist,"vLogix Technologies Pvt. Ltd.,",2-5 Yrs,Not disclosed,Chennai(Okkiyam Thuraipakkam),Experience in projects with a full agile system development life cycleBachelors Degree ...,"algorithms
python
data analysis
data science
RDBMS
data mining
numpy
statistical analysis"
sr. data scientist,Dream11 Inc,4-9 Yrs,Not disclosed,Mumbai,"Your Role: At Dream11 in the Data Science team, we are looking for highly skilled, self...","Data analysis
Backend
cassandra
MySQL
Machine learning
Data processing
MongoDB
RPM"
sr. data scientist,ExecBoardinAsia,5-10 Yrs,Not disclosed,Bengaluru,"As a senior data scientist of the Business Intelligence team, reporting into Senior Eng...","Data analysis
data science
Machine learning
SCALA
Customer service
Business intelligence
Forecasting
Product marketing"
sr. data scientist,Orcapod Consulting Services Private Limited,6-11 Yrs,Not disclosed,Bengaluru,Minimum 1 Year of hands on experience in SQL and should be able to write queriesMinimum...,"Data Science
Python
sql
syntex
Data Analysis"
e-commerce data scientist - 3 month contract,Beauty Matching Engine,3-8 Yrs,Not disclosed,"Pune, Mumbai, Bengaluru",Role:This is a 3-6 month full-time e-commerce data Scientist contract position with pot...,"Data Science
python
r
exploratory data analysis
Data Analysis
Data Analyst
mongodb
sql"
sr. data scientist,McAfee Software (India) Pvt. Ltd,5-9 Yrs,Not disclosed,Bengaluru,"Role Overview: As a senior data scientist of the Business Intelligence team, reporting ...","Data analysis
Machine learning
SCALA
Customer service
Business intelligence
Troubleshooting
Forecasting
Product marketing"
data scientist,ZunRoof Tech Pvt Ltd,1-6 Yrs,Not disclosed,Delhi NCR(Sector-63 Gurgaon),"We are looking for a Data Scientist who will support our IoT products, sales and market...","Data Analysis
Java
R
Logistic Regression
Time Series Analysis
Redis
Machine Learning
Python"
data scientist,experionglobal,7-10 Yrs,Not disclosed,"Trivandrum, Kochi",Job Description: Able to connect to new and relevant data and get to customer insights ...,"IT Skills
Java
Python
Cloud
AWS
Tableau
Power BI
Azure"
data scientist,experionglobal,7-10 Yrs,Not disclosed,"Trivandrum, Kochi",Able to connect to new and relevant data and get to customer insights very quickly. Res...,"Data analysis
Change management
MySQL
Informatica
microsoft
Oracle
Data mining
Project delivery"
principal data scientist,Cornerstone India,7-12 Yrs,Not disclosed,Bengaluru,In this role you will Working very closely and collaboratively with team-members in the...,"deep learning
Data analysis
Prototype
data science
GCP
Machine learning
Transformers
test driven development"
principal data scientist,Cornerstone Talent Solutions,7-13 Yrs,Not disclosed,Bengaluru,In this role you will... Working very closely and collaboratively with team-members in ...,"deep learning
Data analysis
Prototype
HCM
GCP
Machine learning
test driven development
Natural language processing"
data scientist,experionglobal,3-7 Yrs,Not disclosed,"Trivandrum, Kochi",Job Description Able to connect to new and relevant data and get to customer insights v...,"IT Skills
Java
Python
Cloud
AWS
Tableau
Power BI
Azure"
data scientist,Incedo Technology Solutions Ltd.,5-10 Yrs,Not disclosed,"Pune, Delhi NCR",Primary Skills Problem Solving: Strong problem-solving skills with ability to translate...,"Data Science
NLP
Logistic Regression
Data Analysis
SVM
Powerpoint
Machine Learning
Lucene"
data scientist,Black Knight India Solutions Private Limited,6-10 Yrs,Not disclosed,Hyderabad,"experience using various data including mortgage data, public record data, Multi-listin...","Financial Analysis
R
Finance
Data Analysis
Chartered Financial Analyst
Macroeconomics
SQL Scripting
Analytics"
work and settle as data analyst in poland,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Denmark, Poland",Call Aakriti - 9971135795 Collecting and interpreting data Analysing results Reporting ...,"Data Manager
Data Scientist
Security Analyst
Database Security
Data Analysis
Data Engineer
Database Testing
SQL Database"
work and settle as data analyst in poland,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Denmark, Poland",Call Aakriti - 9971135795 Collecting and interpreting data Analysing results Reporting ...,"Data Manager
Data Scientist
Security Analyst
Database Security
Data Analysis
Data Engineer
Database Testing
SQL Database"
sr. data scientist,Decision Point,3-5 Yrs,Not disclosed,Gurgaon,"Experience in various statistical and machine learning modeling techniques, data mining...","Azure
timeseries forecasting
Machine Learning Models
data analytics
data science
sas
data mining
stata"
clinical data analyst,ApicalGo Consultancy,1-4 Yrs,Not disclosed,Bengaluru,EDUCATION : Masters degree in health-related field Performs internal data audits and ot...,"technical support
Medical Applications
Data Management
Data Analyst
Clinical Data Management
Medical Imaging"
germany mnc looking for data scientist,Pleco Migration Private Limited,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Denmark, Germany",Call to Divya: 9870446618 As a Data scientist duties typically include creating various...,"IT Skills
Machine Learning
data extraction
company research
senior analyst
Data Scientist
data mining
Lead Data Analyst"
sr analyst data science and analytics,Analytics Vidhya Educon Pvt. Ltd,10-14 Yrs,Not disclosed,Hyderabad,Job Description and Responsibilities The Data Scientist in Procurement Analytics team w...,"Procurement
SAS
MS Access
MySQL
Healthcare
HTML
Business intelligence
MATLAB"
immediate opening for data analyst in chennai,Inflexion Analytix Private Limited,0-2 Yrs,"3,25,000 - 4,50,000 PA.",Chennai,artificial intelligence data analytics data analysis algorithms statistics machine lear...,"advanced analytics
python
data analytics
data
software
information technology
Artificial Intelligence
testing"
data analyst,US Technology International Pvt Ltd,7-10 Yrs,Not disclosed,Bengaluru,Data Analytics Requirements: 7+ years of related experience with a bachelors degree or ...,"Big Data Analytics
Hadoop
Data Analysis
Data Analyst
kibana
Python
SQL"
data analyst,TouchNote,1-3 Yrs,Not disclosed,Hyderabad,"What you ll do: Reporting into the Data Lead, you will partner with teams on a day-to-d...","Analyst
Data analysis
query optimization
Banking
E-commerce
Data analytics
Data Analyst
Medical insurance"
sr. data analyst - cympl,Cympl,5-10 Yrs,Not disclosed,India,"Senior Data Analyst As a Data Scientist, you will be responsible for analyzing the larg...","Google Analytics
PDF
Senior management
E-commerce
data visualization
Business intelligence
Data mining
Digital marketing"
sr. data scientist,Analytics Vidhya Educon Pvt. Ltd,8-13 Yrs,Not disclosed,Hyderabad,Job description: The Senior Data Scientist is primarily responsible for creating busine...,"Logistic regression
Data analysis
Data management
Analytical
Consulting
HTML
Data mining
Analytics"
data scientist career data analytics companies,ALLERIN TECHNOLOGIES Pvt Ltd.,10-15 Yrs,Not disclosed,Mumbai,Develop hypotheses and test carefully by experience; develop and improve predictive mod...,"Data analysis
Product engineering
Policies
Information security
Tools
Service
Data analytics
Oracle"
data scientist,Wcities Content Solutions Pvt. Ltd.,2-6 Yrs,Not disclosed,Mumbai,Wcities looking for Data Scientists for Mumbai location ( Malad ) with advanced degree ...,"Artificial Intelligence
data research
Data Mining
Data Analyst
Machine Learning
SQL
Data Science
R"
data scientist,EXL Services.com ( I ) Pvt. Ltd.,4-8 Yrs,Not disclosed,Noida,Location: Noida sector 144Shift: US timings 5:30pm -2:30amYou will be responsible for e...,"Power Bi
Data Scientist
Lead Data Analyst
Data Visualization
Tableau
Data Analytics"
data scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,2-7 Yrs,Not disclosed,"Jamshedpur, Mumbai, Bengaluru",Key Responsibilities: Apply Data Mining Data Analysis methods using a variety of data t...,"Data analysis
Data management
HTML
HTTP
Information management
Data mining
Econometrics
Information technology"
data scientist,GD Research Center Pvt Ltd,2-4 Yrs,Not disclosed,Hyderabad,The candidate should be capable of understanding Online Pricing Intelligence solution a...,"Data analysis
Team management
Data management
Project management
Consulting
Data collection
Project planning
Data mining"
data scientist,MyITBridge,3-6 Yrs,"10,00,000 - 20,00,000 PA.","Trivandrum, Kochi","Product devpelopment exposure with credit risk modeling or financial data, Should be an...","Tensorflow
data
Artificial Intelligence
AI
Big Data
Machine Learning
Statistics
Data Science"
analyst - data science,Nuware Systems Pvt Ltd,3-6 Yrs,Not disclosed,Bengaluru,"Responsibilities : Data Scientist with Machine Learning, Python & R Programming Experie...","Data analysis
RDBMS
Bfsi
Application programming
Machine learning
Investment banking
Data mining
Macros"
data analyst | teksystems,Allegis Services India Pvt. Ltd.,4-7 Yrs,Not disclosed,Chennai,We are looking for Data Analysts for TEKsystems.Description: To perform as an Advanced ...,"Data Science
Business Intelligence
Design Development
SAS
Data Analysis
Big Data
Data Visualization
Process Design"
data analyst - saas,ONCEHUB TECHNOLOGIES PRIVATE LIMITED,5-10 Yrs,Not disclosed,"Pune, Dehradun, Delhi NCR, Bengaluru, Hyderabad, Gurgaon","This is a remote, work from home role which saves you commuting time and allows flexibi...","R
Data Quality
Excel
Linear Regression
Time Series Analysis
SAAS
Hypothesis Testing
Data Analysis"
"ttec - sr. analyst , data science",TTEC,1-3 Yrs,Not disclosed,Hyderabad,"Senior Analyst , Data ScienceWhen everything's connected , how we connect is everything...","Data analysis
Coding
Consulting
Business intelligence
Open source
Data mining
Information technology
Macros"
data analyst-analytics,Linedata Technology Private Limited,3-8 Yrs,Not disclosed,Mumbai,The RoleWe are looking for an experienced Data Analyst to join a dynamic and fast-growi...,"Tableau
Python
Predictive Analytics
stastical modelling
Data Analyst
Text Mining
Machine Learning"
data analyst,Lymbyc,2-7 Yrs,Not disclosed,Bengaluru,Roles and Responsibilities: Analyse complex data sets and convert them into the informa...,"Analyst
Data validation
NoSQL
Machine learning
Schema
Business intelligence
Lotus
Analytics"
data analyst,Bloom Consulting Services,2-4 Yrs,Not disclosed,Bengaluru,"JD1349 - Data Analyst Requirement Key Skills : Advanced R , Matlab , Data Analyst , Sta...","Web analytics
Data modeling
Data Analyst
data visualization
Troubleshooting
Data mining
Digital marketing
MATLAB"
principal rwe scientific data analyst,Novartis Healthcare Pvt. Ltd.,8-10 Yrs,Not disclosed,"Hyderabad, AP","Bachelors degree plus 8+ years as programmer or data scientist in the pharma industry, ...","Data Science
Logistic Regression
Data Manipulation
Data Analysis
Data Mining
SQL Queries
Machine Learning
R Shiny"
data entry analyst,Digi Verve Technologies Private Limited,0-2 Yrs,Not disclosed,Bengaluru,Job Description - Transform data into business value to provide qualified data-based in...,"Analyst
Data entry"
data analyst,Samagra Utilities,2-5 Yrs,Not disclosed,Pune,Data Analyst Samagra is looking for a passionate and dynamic Data Analyst who wants to ...,"Service delivery
Data analysis
Statistical modeling
Financial inclusion
Data collection
Data Analyst
Software solutions
Monitoring"
data analyst,Envision Webier Technologies India Pvt. Ltd,2-7 Yrs,Not disclosed,"Ghaziabad, Noida",#NAME?,"Data Analyst
Data entry"
data analyst,Allegis Services India Pvt. Ltd.,3-6 Yrs,"14,00,000 - 22,50,000 PA.",Chennai,"Bachelors / Masters degree in Computer Science Engineering / Information Technology, or...","Business Intelligence
SAS SQL
Report Generation
Alteryx
Data Analysis
SQL Queries
Tableau
Dashboards"
data analyst - tableau,Square Panda India LLP,3-5 Yrs,Not disclosed,Mumbai,"We're looking for a highly strategic, very detail-oriented data analyst/scientist to wo...","Pivot Table
Tableau Developer
data mining
google analytics
Data Visualization
Tableau
SQL"
data analyst,edata4you,2-5 Yrs,Not disclosed,Delhi,Qualification: Graduate or equivalent Skills: Ms- Office and MIS reports Responsibiliti...,"MIS reporting
Training
Algorithms
Process improvement
Tools
Data Analyst
Management
MS Office"
sr. analyst - data science,Smart Cube India Private Limited,2-7 Yrs,Not disclosed,India,Roles and responsibilities The Data Scientist is expected to have deep knowledge and sk...,"Computer science
Telecom
Operations research
Team management
data domain
Project management
Analytical
Machine learning"
lead business analyst - data sciences,Careerera,4-7 Yrs,Not disclosed,Bengaluru,"About Job:Responsibilities- Work with sales, management and sales operations stakeholde...","Computer science
VMware
C++
SAS
Machine learning
Perl
Customer support
Monitoring"
data analyst,Analytics Vidhya Educon Pvt. Ltd,3-8 Yrs,Not disclosed,Hyderabad,Experience : 0 years Requirements : Task Info : About the company: We are the informati...,"Computer science
Bfsi
Process improvement
Data collection
Data Analyst
HTML
Information management
Business solutions"
"data scientist - tensor-flow, keras",TalPro,3-8 Yrs,"25,00,000 - 40,00,000 PA.","Mumbai, Bengaluru, Gurgaon",Should be comfortable in going through open source code and reading research papers,"Tensorflow
data analysis
Data Structures
data mining
Machine Learning
Deep Learning
Fraud Analytics
data extraction"
data engineer / data analyst,Indium Software (India) Limited,3-8 Yrs,Not disclosed,Hyderabad,We are hiring !!!!!Data Engineer / Data Analyst role for Hyderabad locationExp: 3+ Year...,"data warehouse
python
data management
data analytics
big data developer
scala
data engineer
pyspark"
data engineer / data analyst,Indium Software (India) Limited,3-8 Yrs,Not disclosed,Hyderabad,Write complex SQL queries and should be much familiar with functions like (Window funct...,"advanced analytics
python
data analysis
data management
data analytics
big data developer
data engineer
pyspark"
data scientist,Seven Consultancy,3-6 Yrs,Not disclosed,"Navi Mumbai, Mumbai",JOB DETAILS 1. Develop forecasting and probability scoring models 2. Perform statistica...,"Data analysis
Artificial Intelligence
Machine learning
Management consulting
Pattern recognition
Data mining
Forecasting
SQL"
data scientist,Bprise,3-7 Yrs,Not disclosed,Mumbai,& The Data Scientist will have a deep understanding of statistical and predictive model...,"Data analysis
data science
Neural networks
Analytical
Machine learning
Data collection
Data mining
big data"
data scientist-analytics & insights,Hiring Joint,3-6 Yrs,Not disclosed,Noida,"Job Purpose : As a leader and innovator in the food services and food-tech space, Jubil...","Supply chain
Data analysis
Analytical
Machine learning
Data processing
Data structures
Data mining
Operations"
data scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,2-7 Yrs,Not disclosed,"Navi Mumbai, Mumbai","Processing , cleansing , and verifying the integrity of data used for analysis Doing ad...","Computer science
Data analysis
Machine learning
Data collection
Predictive modeling
Data mining
big data
MATLAB"
data scientist,QubeRoot Analytics,3-8 Yrs,Not disclosed,Bengaluru,Data ScientistExperience: 3+ yearsOpen Positions: #02Qualification: M. Sc. (Maths/ Stat...,"Computer science
Business objects
Data analysis
Simulation
Bfsi
MySQL
Healthcare
Data mining"
lead data scientist,QubeRoot Analytics,5-8 Yrs,Not disclosed,Bengaluru,Lead Data ScientistExperience Required: 5-8 yearsOpen Positions: #02Qualification: M. S...,"algorithms
Data analysis
Bfsi
testing
developing
Data mining
tools
SQL"
sr. data scientist and machine learning engineer,McAfee Software (India) Pvt. Ltd,5-9 Yrs,Not disclosed,Bengaluru,About the role: You will collect and analyse data to spot trends and help us face the c...,"Computer science
C++
Data analysis
Machine learning
Perl
Data mining
MATLAB
Analytics"
data scientist,Hyrefox,2-5 Yrs,Not disclosed,Jaipur,"Designing, implementation & maintenance of various data and machine learning-based comp...","Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
data scientist,Jubna,4-9 Yrs,Not disclosed,Noida,"As a Data Scientist, you will work to resolve ambiguity with data, play a crucial role ...","C++
Data analysis
data science
SAS
Project management
Agile
Perl
Business intelligence"
sr. data scientist,EPIFI TECHNOLOGIES PRIVATE LIMITED,5-8 Yrs,Not disclosed,Bengaluru,"You have a MS or PhD in Computer Science, Physics, Statistics, Applied Mathematics, or ...","Academics
Scalability
Data Scientist
regression
Data Structures
SCALA
Data Analysis
Data Mining"
data scientist,"Entytle, Iinc.",2-4 Yrs,Not disclosed,Pune,Position Description The position reports to the Head of Data Science. You will work wi...,"Product management
Computer science
Cloud computing
Data analysis
GIT
Analytical
Machine learning
Agile"
sr. data scientist,NutaNXT Technologies,10-20 Yrs,Not disclosed,"Pune, Bengaluru",Senior Data Scientist Job Description Looking For A Person With Hands- On Experience In...,"SAN
Data analysis
Python"
data scientist,Alpha ICT LLP.,5-7 Yrs,Not disclosed,Pune,"Should have a Master s degree in Statistics , Mathematics , Computer Science Interactin...","Computer science
Business objects
Data analysis
Google Analytics
Machine learning
TIBCO
Data structures
Firmware"
sr. data scientist and machine learning engineer,McAfee Software (India) Pvt. Ltd,5-9 Yrs,Not disclosed,Bengaluru,About the role: In this role you will collect and analyze data to spot trends and help ...,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
data scientist,Axim Technologies,3-5 Yrs,Not disclosed,"Nagpur, Lucknow, Mangalore, Mysore, Indore, Patna, Visakhapatnam, Jaipur","Experience in Big Data technologies Spark, Hadoop (Preferred)Experience working with Da...","IT Skills
Python
Machine Learning
Big Data
work from home
R
Artificial Neural Networks
Data Scientist"
